source_sku,source_name,brand_name,form,functional_area,category,servings,cost_usd,srp_usd,active_ingredients,primary_benefits,usage,cautions,image_file,shipping_scope,source_category
GCN-011,Gut Health,Core Energy Gut Health,Capsules,energy,Energy,60,5.79,29.99,"Organic Apple Cider Vinegar Powder (fruit), Inulin (Helianthus tuberosus) (Jerusalem artichoke root), Lactobacillus acidophilus LA85 (Inulin carrier), DigeZyme®.","Gut Health is a dietary supplement designed to support your digestive wellness.; Featuring a blend of Apple Cider Vinegar Powder, Inulin from Jerusalem artichoke root, Lactobacillus acidophilus, and DigeZyme®, it helps nourish your gut with essential prebiotics and enzymes.","As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz (177-236ml) of water or as directed by a healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
GCN-012,Mushroom Extract Complex,Core Base Mushroom Extract Complex,Gummies,foundational,Foundational,60,9.15,34.9,"Mushroom extract (Maitake Fruiting Body 10:1 Extract, Shiitake Fruiting Body 10: 1 Extract, Lion’s Mane Fruiting Body 10:1 Extract, Reishi Fruiting Body 10:1 Extract, Cordyceps Fruiting Body 10:1 Extract, Chaga Fruiting Body 10:1 Extract, Turkey Tails Fruiting Body 10:1 Extract, White Button Mushroom Fruiting Body 10:1 Extract, Black Fungus Fruiting Body 10:1 Extract, Royal Sun Mushroom Fruiting Body 10:1 Extract), glucose syrup, sugar, dextrose, pectin, citric acid, natural raspberry flavor, sodium citrate, purple carrot juice concentrate, palm oil (contains carnauba wax).",Enhanced memory and cognition; Improved athletic performance; Holistic Health; Maintains normal blood sugar levels,2 gummies daily or as directed by a healthcare professional.,"Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Take only as directed. Do not exceed the suggested dosage. Pregnant or nursing mothers, children under 18, or individuals with a known medical condition should consult a physician before using this or any dietary supplement. This product may settle during shipping. Natural colors will darken over time. This does not alter the potency of the product. This product is manufactured and packaged in a facility that may also process milk, soy, wheat, egg, peanuts, tree nuts, fish, and crustacean shellfish.",assets/product-omega.svg,ALL_SUPPORTED_DESTINATIONS,Mushroom Products
GCN-013,Appetite Balance & Weight Support Strips,Core Recovery Appetite Balance And Weight Support Strips,Strips,recovery,Recovery,30,8.03,35.9,"Chromium (as Chromium Picolinate) (75 mcg), Molybdenum (as Molybdenum Glycinate 400 mcg) (10 mcg ), Crocus sativus (Saffron) (10mg), Pullulan, Cellulose, Malic Acid, Sorbitol Syrup, Lecithin, Mixed Berry Flavor, Steviol Glycoside.","Support your active lifestyle with Appetite Balance & Weight Support Strips — a convenient, dissolvable oral strip featuring Saffron, Chromium, and Molybdenum.; Designed to complement your wellness routine, these strips offer a simple way to support mindful eating habits and daily vitality.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,Weight Management
GCN-014,Magnesium Glycinate,Core Sleep Magnesium Glycinate,Capsules,sleep,Sleep,60,8.89,26.9,"Magnesium (from 2,500mg Magnesium Glycinate) 275mg, Hypromellose (capsule), Magnesium Stearate, Silicon Dioxide, Rice Flour.","Recharge your body and mind with Magnesium Glycinate Capsules — a highly absorbable form of magnesium designed to support relaxation, post-exercise muscle recovery, and the nervous system.; This essential mineral plays a key role in promoting restful sleep, balanced mood, and overall wellness.","As a dietary supplement, take three (3) capsules once daily or as directed by your healthcare professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-sleep.svg,ALL_SUPPORTED_DESTINATIONS,Vitamins & Minerals
GCN-015,Creatine Monohydrate,Core Performance Creatine Monohydrate,Capsules,performance,Performance,60,12.65,33.9,Creatine Monohydrate.,Increased muscle mass; Improved athletic performance; Enhanced focus; Higher energy level,"As a dietary supplement, adults take one (1) scoop in eight (8) oz. of water or juice four (4) times daily during the first five (5) days (loading phase). After the loading phase, take one (1) or two (2) times daily or as directed by a health care professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place and away from direct light.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Muscle Builders
GCN-016,Fat Burner with MCT,Core Energy Fat Burner With MCT,Capsules,energy,Energy,90,8.35,33.9,"Vitamin C (as acerbic acid), Vitamin B6 (as Pyridoxine HCL), Choline (as choline bitartrate), Chromium (as chromium polynicotinate), Medium Chain Triglycerides Oil, CLA (Conjugated Linoleic Acid), GLA (Gamma-Linolenic Acid), Bladderwrack Thallus Powder, Inositol, Gymnema Sylvestre Leaf (25% Extract), Garcinia Cambogia Fruit Extract (50% hydroxycitric acid), L-Carnitine (as L-Carnitine Tartrate), Turmeric Root (95% extract), Coenzyme Q10, Proprietary Blend (Spirulina Powder, L-Phenylalanine, L-Tyrosine, L-Methionine, Bromelain, Psyllium Husk Powder, Clove Bud Powder,, Allspice, Kelp 10:1 Extract, Juniper Berry 4:1 Extract, Buchu Leaf 4:1 Extract, Uva Ursi Leaf (20% Extract), Cinnamon Bark 10:1 Extract (Cinnamomum cassia), Cranberry fruit Concentrate and Grapefruit Fruit 4:1 Extract), Gelatin (bovine), rice flour, vegetable magnesium stearate, silicon dioxide and chlorophyll.",Weight loss support; Promotes liver and cardiovascular health; Enhances muscular strength,"4 capsules daily, preferably with meals or as directed by a healthcare professional. For best results, take 2 capsules with 8 ounces (237ml) of water before breakfast and again before dinner. This product should be used in conjunction with a sensible diet and exercise program.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Avoid taking this product in conjunction with other dietary supplements containing high elemental chromium levels. This product is not intended for pregnant or nursing mothers or children under the age of 18. If you are diabetic or have a known medical condition, consult your physician before taking this or any dietary supplement. This product is manufactured and packaged in a facility that may also process milk, soy, wheat, egg, peanuts, tree nuts, fish, and crustacean shellfish.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Weight Management
GCN-017,"Hair, Skin and Nails Essentials","Core Immunity Hair, Skin And Nails Essentials",Capsules,immunity,Immunity,60,7.79,32.9,"Vitamin A (as Beta-carotene) 120mcg RAE, Vitamin C (as Ascorbic Acid) 120mg, Vitamin D (as Cholecalciferol) 20mcg, Vitamin E (as DL-Alpha tocopheryl acetate) 14mg, Thiamine (B1)(as Thiamine mononitrate) 6mg, Vitamin B6 (as Pyridoxine HCL) 8mg, Folate 1496mcg DFE (880mcg Folic Acid), Vitamin B12 (as Cyanocobalamin) 12mcg, Biotin 5000mcg, Pantothenic Acid (B5)(as D-Calcium pantothenate) 30g, Calcium (as Calcium Carbonate) 80mg, Iron (as Ferrous fumarate) 14.5mg, Magnesium (as Magnesium Oxide) 120mg, Zinc (as Zinc Oxide) 7mg, Manganese (as Manganese amino acid chelate) 4mg, Potassium (as Potassium gluconate) 94mg, Proprietary Blend (PABA, Horsetail extract, Fo-Ti, Bamboo extract, Stinging Nettle, Chinese Peony, Spirulina, Saw palmetto, Plant sterols, Alfalfa, Barley grass) 359mg, Hypromellose (vegetable capsule), Rice Flour, Magnesium Stearate, Silicon dioxide.","Nourish your natural beauty from the inside out with Hair, Skin & Nails Essentials Capsules.; This comprehensive blend of vitamins, minerals, and botanicals supports healthy hair growth, glowing skin, and strong nails.",For adults only. Take two (2) capsules a day with food. Do not take this supplement within one hour of taking medications. Do not exceed the recommended dose.,"Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Pregnant or lactating women and anyone taking medications should consult a healthcare professional before using any nutritional product. If any adverse reactions occur, discontinue use and consult a healthcare professional.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,"Skin, Hair & Nail Health"
GCN-018,Hydration Powder (Lemonade),Core Performance Hydration Powder Lemonade,Powder,performance,Performance,60,11.45,34.99,"Vitamin B1 (Thiamin), Vitamin B2 (Riboflavin), Vitamin B3 (Niacin), Vitamin B6 (Pyridoxal 5 Phosphate), Vitamin B9 (Folate), Vitamin B12 (Methylcobalamin), Calcium (Calcium Citrate), Magnesium (Magnesium Citrate), Sodium (Sodium Citrate), Potassium (Potassium Citrate), Polydextrose, Citric Acid, Natural & Artificial Flavors, Sucralose, Calcium Silicate, Fruit & Vegetable Blend (for color)","Premium Formulation: Our formula avoids fillers and unnecessary additives, focusing on delivering essential nutrients.; All-Day Consumption: Suitable for consumption throughout the day.; Keto Friendly: Designed to fit into various dietary lifestyles.; Various nutrients: Contains essential nutrients to support overall health.","Measuring with the scooper located inside the jar, mix each scoop, to desired taste, with 14-20 ounces (414-591 ml) of water (2 scoops with 28-40 ounces (828 ml-1.2 1) of water).","Recommended to not exceed more than 5 scoops within a 24 hour period. Not intended for use by persons with a medical condition. Consult your physician before using this product if you are pregnant of nursing or taking any medication. Manufactured in a facility that produces Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Soybeans, and Sesame. Store in a cool dry place, keep out of reach of children. Do not use if safety seal is broken or missing. Contents sold by weight not volume, some settling may occur. Secure lid tightly when not in use. Consume within 90 days. This product is intended to supplement a balanced diet and active lifestyle. Consult with a healthcare professional before starting any new dietary supplement, especially if you are pregnant, nursing, have any medical conditions, or are taking any medications.",assets/product-energy.svg,US_ONLY,Intra-Workout Supplements
GCN-019,Brain & Focus Formula,Core Sleep Brain And Focus Formula,Capsules,sleep,Sleep,60,6.95,39.9,"Vitamin A (as Beta-Carotene) 122mcg RAE, Vitamin C (as Ascorbic Acid) 125mg, Calcium (as Calcium Carbonate), Iron (as Ferrous Fumarate), Vitamin D (as Cholecalciferol) 3mcg, Vitamin E (as DL-Alpha-Tocopheryl-acetate) 14mg, Vitamin B1 (as Thiamine Mononitrate) 3mg, Vitamin B2 (as Riboflavin) 1.7mg, Vitamin B3 (as Niacin) 12.5mg NE, Vitamin B6 (as Pyridoxine HCL) 12mg, Folate 680mcg DFE (400 mcg Folic Acid), Biotin 3mcg, Vitamin B5 (as D-Calcium Pantothenate) 12mg, Magnesium (as Magnesium Oxide) 50mg, Zinc (as Zinc Oxide) 10mg, Selenium (Selenium Amino Acid Chelate) 50mcg, Copper (as Copper Gluconate) 0.052mg, Manganese (as Manganese Amino Acid Chelate) 0.4mg, Chromium (as Chromium Picolinate) 12mcg, Molybdenum 10mcg, Potassium (as Potassium Citrate) 94mg, Choline (as Choline Bitartrate), Proprietary Blend (DMAE Bitartrate, L-Glutamine HCL, Glutamic Acid, Green Tea Extract, Bacopa Extract, Inositol, Bilberry Fruit Extract, GABA, Grape Seed Extract, Grapefruit Seed Extract, Olive Leaf, Cinnamon Bark Extract, Licorice Root Extract, Boron, DHA 14%, Vanadyl, Phosphatidylserine, Huperzine A) 617mg, Hypromellose (vegetable capsule), Rice Flour, Magnesium Stearate, Silicon Dioxide.","Support your mind and nervous system with Brain & Focus Formula Capsules.; This blend of vitamins, minerals, and botanicals helps maintain healthy cognitive function, mental clarity, and focus.","As a dietary supplement, take two (2) veggie capsules once a day. For best results, take 20-30 min before a meal with an 8oz (236 ml) glass of water or as directed by your healthcare professional","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-sleep.svg,ALL_SUPPORTED_DESTINATIONS,Brain & Cognitive
GCN-020,Mushroom Focus Strips,Core Focus Mushroom Focus Strips,Strips,focus,Focus,30,8.03,39,"Hericium Erinaceus (Lion’s Mane) (30 mg), Grifola Frondosa (Maitake) (25 mg), Cordyceps Sinensis (Cordyceps) (25 mg), Lentinus Edodes (Shiitake) (20 mg), Pullulan, Cellulose, Lecithin, Chocolate Flavor, Monk Fruit Extract, Medium-Chain Triglycerides, Xanthan Gum, Steviol Glycosides.",Daily wellness support,"Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-focus.svg,ALL_SUPPORTED_DESTINATIONS,Mushroom Products
GCN-021,Diet Drops Ultra 1 oz,Core Performance Diet Drops Ultra 1 Oz,Liquid,performance,Performance,30,5.89,32.9,"Proprietary Active-8 & African Mango Complex (African Mango Fruit Extract, Maca Root Extract, Astragalus Membranaceus Root Extract, Rhodiola Rosea Root Extract, Pygeum Africanum Root Extract, L-Arginine Base, L-Glutamine, L-Ornithine HCL, L-Carnitine) 200mg, Deionized Water, Ethanol, Organic Citrus Extract, Stevia Extract, Xylitol.","Support your healthy lifestyle with Diet Drops Ultra, a blend designed for individuals who maintain a balanced diet and stay active.; Featuring the Proprietary Active-8 & African Mango Complex, this formula helps support metabolism, energy, and your weight management goals.","Adults, take 1ml three times a day or as directed by a health care professional. For children under 18 years of age, consult a physician before use.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Weight Management
GCN-022,Max Detox (Acai detox),Core Recovery Max Detox Acai Detox,Capsules,recovery,Recovery,60,7.59,29.9,"Proprietary Blend (Psyllium Powder, Acai Berry Extract, Inulin, Slippery Elm Bark, Aloe Ferox Powder Alion 18%, Chlorella, Black Walnut Hulls Powder, Ginger Root, Hyssop Leaf, Papaya Fruit Powder, Lycopene 5%, Hypromellose (vegetable capsule), Magnesium Stearate.",Supports healthy digestion; Promotes colon health; Nourishes the liver,"As a dietary supplement, take two (2) capsules once a day. For best results, take one (1) capsule during the day and one (1) capsule in the evening. Repeat the process daily. Do not exceed two capsules per day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
GCN-023,Resveratrol 50% 600mg,Core Energy Resveratrol 50% 600mg,Capsules,energy,Energy,60,8.55,25.9,"Resveratrol (Polygonum cuspidatum)(root) Complex Containing 50% Trans-Resveratrol, Hypromellose (vegetable capsule), Microcrystalline Cellulose.",Promotes cardiovascular health; Antioxidant; Weight control support,"Take one (1) veggie capsule twice a day as a dietary supplement. For best results, take 20-30 min before a meal or as directed by your healthcare professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Weight Management
GCN-024,Probiotic + Metabolism Strips,Core Recovery Probiotic + Metabolism Strips,Strips,recovery,Recovery,30,9.12,39,"Polydextrose (50mg), Bifidobacterium lactis 37.5mg (10 Billion CFU), Pullulan, Cellulose, Mannitol, Mixed berry flavor, Sunflower Lecithin, Monk fruit extract, Erythritol, Medium chain triglycerides, Malic acid, Steviol glycoside",Probiotic + Metabolism Strips are an easy and convenient way to support your wellness routine.; Each strip delivers 10 billion CFU of Bifidobacterium lactis along with prebiotic fiber to help maintain digestive balance.,"Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
GCN-025,Libido Support Strips,Core Base Libido Support Strips,Strips,foundational,Foundational,30,8.72,37.9,"Cordyceps Militaris (50 mg), Asphaltum Punjabianum (Shilajit) (50 mg), Oyster Peptide (20 mg), Pullulan, Cellulose, Monk Fruit Extract, Lecithin, Chocolate Flavor, Erythritol, Sorbitol, Pectin, Steviol Glycosides",Daily wellness support,"Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-omega.svg,ALL_SUPPORTED_DESTINATIONS,Sexual & Reproductive Wellness
GCN-026,Cognitive Relax Strips,Core Sleep Cognitive Relax Strips,Strips,sleep,Sleep,30,8.03,32.9,"Green Tea L-Theanine (50 mg), GABA (25 mg), Vitamin B6 (6 mg), Pullulan, Mannitol, Cellulose, Strawberry Flavor, Lecithin, Malic Acid, Monk Fruit Extract, Pectin, Erythritol, Peppermint Flavor, Steviol Glycosides",Daily wellness support,"Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-sleep.svg,ALL_SUPPORTED_DESTINATIONS,Brain & Cognitive
