source_sku,source_name,product_id,brand_name,category,badge,suggested_price_usd,hero_headline,hero_subheadline,what_it_is,what_it_does,how_to_use,key_ingredients,testing_copy,cautions_copy,cta_primary,cta_secondary,image_file
GCN-011,Gut Health,core-energy-gut-health,Core Energy Gut Health,Energy,Core Energy,30,Core Energy Gut Health,"Supports digestive comfort, gut function, and nutrient utilization.",A premium capsules formula engineered for energy routine architecture and long-term consistency,"Supports digestive comfort, gut function, and nutrient utilization.","As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz (177-236ml) of water or as directed by a healthcare professional. Do not exceed labeled serving size.","Organic Apple Cider Vinegar Powder (fruit), Inulin (Helianthus tuberosus) (Jerusalem artichoke root), Lactobacillus acidophilus LA85 (Inulin carrier), DigeZyme®.","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-energy-gut-health.svg
GCN-012,Mushroom Extract Complex,core-base-mushroom-extract-complex,Core Base Mushroom Extract Complex,Foundational,Core Base,35,Core Base Mushroom Extract Complex,"Supports cognitive performance, focus, and mental clarity.",A premium gummies formula engineered for foundational routine architecture and long-term consistency,"Supports cognitive performance, focus, and mental clarity; Supports exercise performance, strength output, and recovery capacity; Supports foundational daily wellness and nutrient coverage.",2 gummies daily or as directed by a healthcare professional. Do not exceed labeled serving size.,"Mushroom extract (Maitake Fruiting Body 10:1 Extract, Shiitake Fruiting Body 10: 1 Extract, Lion’s Mane Fruiting Body 10:1 Extract, Reishi Fruiting Body 10:1 Extract, Cordyceps Fruiting Body 10:1 Extract, Chaga Fruiting Body 10:1 Extract, Turkey Tails Fruiting Body 10:1 Extract, White Button Mushroom Fruiting Body 10:1 Extract, Black Fungus Fruiting Body 10:1 Extract, Royal Sun Mushroom Fruiting Body 10:1 Extract), glucose syrup, sugar, dextrose, pectin, citric acid, natural raspberry flavor, sodium citrate, purple carrot juice concentrate, palm oil (contains carnauba wax).","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Take only as directed. Do not exceed the suggested dosage. Pregnant or nursing mothers, children under 18, or individuals with a known medical condition should consult a physician before using this or any dietary supplement. This product may settle during shipping. Natural colors will darken over time. This does not alter the potency of the product. This product is manufactured and packaged in a facility that may also process milk, soy, wheat, egg, peanuts, tree nuts, fish, and crustacean shellfish. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-base-mushroom-extract-complex.svg
GCN-013,Appetite Balance & Weight Support Strips,core-recovery-appetite-balance-and-weight-support-strips,Core Recovery Appetite Balance And Weight Support Strips,Recovery,Core Recovery,36,Core Recovery Appetite Balance And Weight Support Strips,"Supports recovery, hydration, and tissue resilience.",A premium strips formula engineered for recovery routine architecture and long-term consistency,"Supports recovery, hydration, and tissue resilience; Supports cellular energy metabolism and daily vitality.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Chromium (as Chromium Picolinate) (75 mcg), Molybdenum (as Molybdenum Glycinate 400 mcg) (10 mcg ), Crocus sativus (Saffron) (10mg), Pullulan, Cellulose, Malic Acid, Sorbitol Syrup, Lecithin, Mixed Berry Flavor, Steviol Glycoside.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-appetite-balance-and-weight-support-strips.svg
GCN-014,Magnesium Glycinate,core-sleep-magnesium-glycinate,Core Sleep Magnesium Glycinate,Sleep,Core Sleep,27,Core Sleep Magnesium Glycinate,"Supports exercise performance, strength output, and recovery capacity.",A premium capsules formula engineered for sleep routine architecture and long-term consistency,"Supports exercise performance, strength output, and recovery capacity; Supports restful sleep quality and circadian rhythm.","As a dietary supplement, take three (3) capsules once daily or as directed by your healthcare professional. Do not exceed labeled serving size.","Magnesium (from 2,500mg Magnesium Glycinate) 275mg, Hypromellose (capsule), Magnesium Stearate, Silicon Dioxide, Rice Flour.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-sleep-magnesium-glycinate.svg
GCN-015,Creatine Monohydrate,core-performance-creatine-monohydrate,Core Performance Creatine Monohydrate,Performance,Core Performance,34,Core Performance Creatine Monohydrate,"Supports exercise performance, strength output, and recovery capacity.",A premium capsules formula engineered for performance routine architecture and long-term consistency,"Supports exercise performance, strength output, and recovery capacity; Supports cognitive performance, focus, and mental clarity; Supports cellular energy metabolism and daily vitality.","As a dietary supplement, adults take one (1) scoop in eight (8) oz. of water or juice four (4) times daily during the first five (5) days (loading phase). After the loading phase, take one (1) or two (2) times daily or as directed by a health care professional. Do not exceed labeled serving size.",Creatine Monohydrate.,"Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place and away from direct light. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-creatine-monohydrate.svg
GCN-016,Fat Burner with MCT,core-energy-fat-burner-with-mct,Core Energy Fat Burner With MCT,Energy,Core Energy,34,Core Energy Fat Burner With MCT,Supports stable energy and metabolic efficiency.,A premium capsules formula engineered for energy routine architecture and long-term consistency,"Supports stable energy and metabolic efficiency; Supports cardiovascular function and circulation; Supports exercise performance, strength output, and recovery capacity.","4 capsules daily, preferably with meals or as directed by a healthcare professional. For best results, take 2 capsules with 8 ounces (237ml) of water before breakfast and again before dinner. This product should be used in conjunction with a sensible diet and exercise program. Do not exceed labeled serving size.","Vitamin C (as acerbic acid), Vitamin B6 (as Pyridoxine HCL), Choline (as choline bitartrate), Chromium (as chromium polynicotinate), Medium Chain Triglycerides Oil, CLA (Conjugated Linoleic Acid), GLA (Gamma-Linolenic Acid), Bladderwrack Thallus Powder, Inositol, Gymnema Sylvestre Leaf (25% Extract), Garcinia Cambogia Fruit Extract (50% hydroxycitric acid), L-Carnitine (as L-Carnitine Tartrate), Turmeric Root (95% extract), Coenzyme Q10, Proprietary Blend (Spirulina Powder, L-Phenylalanine, L-Tyrosine, L-Methionine, Bromelain, Psyllium Husk Powder, Clove Bud Powder,, Allspice, Kelp 10:1 Extract, Juniper Berry 4:1 Extract, Buchu Leaf 4:1 Extract, Uva Ursi Leaf (20% Extract), Cinnamon Bark 10:1 Extract (Cinnamomum cassia), Cranberry fruit Concentrate and Grapefruit Fruit 4:1 Extract), Gelatin (bovine), rice flour, vegetable magnesium stearate, silicon dioxide and chlorophyll.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Avoid taking this product in conjunction with other dietary supplements containing high elemental chromium levels. This product is not intended for pregnant or nursing mothers or children under the age of 18. If you are diabetic or have a known medical condition, consult your physician before taking this or any dietary supplement. This product is manufactured and packaged in a facility that may also process milk, soy, wheat, egg, peanuts, tree nuts, fish, and crustacean shellfish. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-energy-fat-burner-with-mct.svg
GCN-017,"Hair, Skin and Nails Essentials",core-immunity-hair-skin-and-nails-essentials,"Core Immunity Hair, Skin And Nails Essentials",Immunity,Core Immunity,33,"Core Immunity Hair, Skin And Nails Essentials","Supports healthy skin, hair, and nail structure.",A premium capsules formula engineered for immunity routine architecture and long-term consistency,"Supports healthy skin, hair, and nail structure.",For adults only. Take two (2) capsules a day with food. Do not take this supplement within one hour of taking medications. Do not exceed the recommended dose.,"Vitamin A (as Beta-carotene) 120mcg RAE, Vitamin C (as Ascorbic Acid) 120mg, Vitamin D (as Cholecalciferol) 20mcg, Vitamin E (as DL-Alpha tocopheryl acetate) 14mg, Thiamine (B1)(as Thiamine mononitrate) 6mg, Vitamin B6 (as Pyridoxine HCL) 8mg, Folate 1496mcg DFE (880mcg Folic Acid), Vitamin B12 (as Cyanocobalamin) 12mcg, Biotin 5000mcg, Pantothenic Acid (B5)(as D-Calcium pantothenate) 30g, Calcium (as Calcium Carbonate) 80mg, Iron (as Ferrous fumarate) 14.5mg, Magnesium (as Magnesium Oxide) 120mg, Zinc (as Zinc Oxide) 7mg, Manganese (as Manganese amino acid chelate) 4mg, Potassium (as Potassium gluconate) 94mg, Proprietary Blend (PABA, Horsetail extract, Fo-Ti, Bamboo extract, Stinging Nettle, Chinese Peony, Spirulina, Saw palmetto, Plant sterols, Alfalfa, Barley grass) 359mg, Hypromellose (vegetable capsule), Rice Flour, Magnesium Stearate, Silicon dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Pregnant or lactating women and anyone taking medications should consult a healthcare professional before using any nutritional product. If any adverse reactions occur, discontinue use and consult a healthcare professional. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-immunity-hair-skin-and-nails-essentials.svg
GCN-018,Hydration Powder (Lemonade),core-performance-hydration-powder-lemonade,Core Performance Hydration Powder Lemonade,Performance,Core Performance,35,Core Performance Hydration Powder Lemonade,"Supports cognitive performance, focus, and mental clarity.",A premium powder formula engineered for performance routine architecture and long-term consistency,"Supports cognitive performance, focus, and mental clarity; Supports exercise performance and recovery.","Measuring with the scooper located inside the jar, mix each scoop, to desired taste, with 14-20 ounces (414-591 ml) of water (2 scoops with 28-40 ounces (828 ml-1.2 1) of water). Do not exceed labeled serving size.","Vitamin B1 (Thiamin), Vitamin B2 (Riboflavin), Vitamin B3 (Niacin), Vitamin B6 (Pyridoxal 5 Phosphate), Vitamin B9 (Folate), Vitamin B12 (Methylcobalamin), Calcium (Calcium Citrate), Magnesium (Magnesium Citrate), Sodium (Sodium Citrate), Potassium (Potassium Citrate), Polydextrose, Citric Acid, Natural & Artificial Flavors, Sucralose, Calcium Silicate, Fruit & Vegetable Blend (for color)","Third-party verified identity, potency, and contaminant controls on every production lot.","Recommended to not exceed more than 5 scoops within a 24 hour period. Not intended for use by persons with a medical condition. Consult your physician before using this product if you are pregnant of nursing or taking any medication. Manufactured in a facility that produces Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Soybeans, and Sesame. Store in a cool dry place, keep out of reach of children. Do not use if safety seal is broken or missing. Contents sold by weight not volume, some settling may occur. Secure lid tightly when not in use. Consume within 90 days. This product is intended to supplement a balanced diet and active lifestyle. Consult with a healthcare professional before starting any new dietary supplement, especially if you are pregnant, nursing, have any medical conditions, or are taking any medications. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-hydration-powder-lemonade.svg
GCN-019,Brain & Focus Formula,core-sleep-brain-and-focus-formula,Core Sleep Brain And Focus Formula,Sleep,Core Sleep,40,Core Sleep Brain And Focus Formula,"Supports cognitive performance, focus, and mental clarity.",A premium capsules formula engineered for sleep routine architecture and long-term consistency,"Supports cognitive performance, focus, and mental clarity.","As a dietary supplement, take two (2) veggie capsules once a day. For best results, take 20-30 min before a meal with an 8oz (236 ml) glass of water or as directed by your healthcare professional. Do not exceed labeled serving size.","Vitamin A (as Beta-Carotene) 122mcg RAE, Vitamin C (as Ascorbic Acid) 125mg, Calcium (as Calcium Carbonate), Iron (as Ferrous Fumarate), Vitamin D (as Cholecalciferol) 3mcg, Vitamin E (as DL-Alpha-Tocopheryl-acetate) 14mg, Vitamin B1 (as Thiamine Mononitrate) 3mg, Vitamin B2 (as Riboflavin) 1.7mg, Vitamin B3 (as Niacin) 12.5mg NE, Vitamin B6 (as Pyridoxine HCL) 12mg, Folate 680mcg DFE (400 mcg Folic Acid), Biotin 3mcg, Vitamin B5 (as D-Calcium Pantothenate) 12mg, Magnesium (as Magnesium Oxide) 50mg, Zinc (as Zinc Oxide) 10mg, Selenium (Selenium Amino Acid Chelate) 50mcg, Copper (as Copper Gluconate) 0.052mg, Manganese (as Manganese Amino Acid Chelate) 0.4mg, Chromium (as Chromium Picolinate) 12mcg, Molybdenum 10mcg, Potassium (as Potassium Citrate) 94mg, Choline (as Choline Bitartrate), Proprietary Blend (DMAE Bitartrate, L-Glutamine HCL, Glutamic Acid, Green Tea Extract, Bacopa Extract, Inositol, Bilberry Fruit Extract, GABA, Grape Seed Extract, Grapefruit Seed Extract, Olive Leaf, Cinnamon Bark Extract, Licorice Root Extract, Boron, DHA 14%, Vanadyl, Phosphatidylserine, Huperzine A) 617mg, Hypromellose (vegetable capsule), Rice Flour, Magnesium Stearate, Silicon Dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-sleep-brain-and-focus-formula.svg
GCN-020,Mushroom Focus Strips,core-focus-mushroom-focus-strips,Core Focus Mushroom Focus Strips,Focus,Core Focus,39,Core Focus Mushroom Focus Strips,Supports cognitive performance and stress resilience.,A premium strips formula engineered for focus routine architecture and long-term consistency,Supports cognitive performance and stress resilience.,"Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Hericium Erinaceus (Lion’s Mane) (30 mg), Grifola Frondosa (Maitake) (25 mg), Cordyceps Sinensis (Cordyceps) (25 mg), Lentinus Edodes (Shiitake) (20 mg), Pullulan, Cellulose, Lecithin, Chocolate Flavor, Monk Fruit Extract, Medium-Chain Triglycerides, Xanthan Gum, Steviol Glycosides.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-focus-mushroom-focus-strips.svg
